Time, Value
14:03:31, 87
14:03:32, 75
14:03:33, 87
14:03:34, 81
14:03:35, 67
14:03:36, 61
14:03:37, 38
14:03:38, 34
14:03:39, 26
14:03:40, 40
14:03:41, 54
14:03:42, 56
14:03:43, 38
14:03:44, 48
14:03:45, 27
14:03:46, 30
14:03:47, 54
14:03:48, 47
14:03:49, 60
14:03:50, 53
14:03:51, 51
14:03:52, 48
14:03:53, 53
14:03:54, 51
14:03:55, 61
14:03:56, 63
14:03:57, 60
14:03:58, 61
14:03:59, 60
14:04:00, 66
14:04:01, 61
14:04:02, 74
14:04:03, 50
14:04:04, 57
14:04:05, 60
14:04:06, 53
14:04:07, 80
14:04:08, 60
14:04:09, 61
14:04:10, 48
14:04:11, 30
14:04:12, 51
14:04:13, 54
14:04:14, 53
14:04:15, 48
14:04:16, 43
14:04:17, 34
14:04:18, 43
14:04:19, 41
14:04:20, 24
14:04:21, 20
14:04:22, 10
14:04:23, 21
14:04:24, 17
14:04:25, 48
14:04:26, 43
14:04:27, 30
14:04:28, 47
14:04:29, 26
14:04:30, 50
14:04:31, 75
14:04:32, 75
14:04:33, 81
